symbol,time,open,high,low,close,volume
ABBV,2024-03-01T13:50:00Z,176.25,176.93,176.25,176.93,774
ABBV,2024-03-01T14:25:00Z,175.96,175.96,175.96,175.96,200
ABBV,2024-03-01T14:30:00Z,176.05,176.37,175.75,176.22,116739
ABBV,2024-03-01T14:35:00Z,176.21,176.72,176.13,176.585,44363
ABBV,2024-03-01T14:40:00Z,176.585,176.97,176.47,176.74,50459
ABBV,2024-03-01T14:45:00Z,176.81,177.25,176.775,177.17,51219
ABBV,2024-03-01T14:50:00Z,177.17,177.295,176.92,177,67061
ABBV,2024-03-01T14:55:00Z,177,177.29,176.9,177.24,40082
ABBV,2024-03-01T15:00:00Z,177.34,177.44,177.15,177.36,51791
ABBV,2024-03-01T15:05:00Z,177.36,177.37,177.01,177.18,47446
ABBV,2024-03-01T15:10:00Z,177.21,177.21,177,177.095,34043
ABBV,2024-03-01T15:15:00Z,177.1,177.23,177.04,177.15,34206
ABBV,2024-03-01T15:20:00Z,177.09,177.14,176.99,177.05,34177
ABBV,2024-03-01T15:25:00Z,177.0885,177.24,176.94,177.2,23823
ABBV,2024-03-01T15:30:00Z,177.19,177.44,177.19,177.25,69991
ABBV,2024-03-01T15:35:00Z,177.28,177.38,177.21,177.33,119154
ABBV,2024-03-01T15:40:00Z,177.28,177.29,177.08,177.1542,19856
ABBV,2024-03-01T15:45:00Z,177.16,177.5,177.16,177.37,23838
ABBV,2024-03-01T15:50:00Z,177.36,177.46,177.28,177.38,20035
ABBV,2024-03-01T15:55:00Z,177.361,177.46,177.21,177.22,21299
ABBV,2024-03-01T16:00:00Z,177.23,177.26,177.09,177.18,24685
ABBV,2024-03-01T16:05:00Z,177.195,177.57,177.18,177.3952,55052
ABBV,2024-03-01T16:10:00Z,177.395,177.395,177.11,177.11,15348
ABBV,2024-03-01T16:15:00Z,177.145,177.46,177.14,177.18,52707
ABBV,2024-03-01T16:20:00Z,177.18,177.24,177.03,177.0622,24261
ABBV,2024-03-01T16:25:00Z,177.05,177.08,177,177.06,28548
ABBV,2024-03-01T16:30:00Z,177.07,177.08,176.9975,177.06,21188
ABBV,2024-03-01T16:35:00Z,177.08,177.21,176.99,177.12,39080
